"VALOR LIGACAO","NUM EMPREGADO","DIVISAO","DEPARTAMENTO","TELEFONE","UF","DATA_LIGACAO","MINUTO","SEGUNDO","Dia da Semana","Semestres","VENCIMENTO","Semana do Mes","MEDIA"
111.92,2927081,"Vendas",2610953,8185339599,"PE",2012-09-01 01:26:22,40,9,"Sat","3-Trimestre","9-Setembro","5 semana",107.485714285714
148.17,4420657,"Engenharia",9008985,8186303572,"PE",2012-10-30 07:30:04,38,50,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
92.24,9428607,"Vendas",2748775,3189311270,"MG",2012-10-30 07:34:59,37,23,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
114.43,9723167,"Vendas",2610953,9887099532,"MA",2012-10-30 07:34:21,35,54,"Tue","4-Trimestre","10-Outubro","5 semana",104.413230769231
105.98,7020809,"Engenharia",9008985,9899729920,"MA",2012-10-30 07:34:22,35,53,"Tue","4-Trimestre","10-Outubro","5 semana",104.413230769231
115.91,9122187,"Vendas",2610953,3288670978,"MG",2012-10-30 07:34:23,35,52,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
152.63,8624789,"Vendas",2610953,9899352022,"MA",2012-10-30 07:33:01,34,34,"Tue","4-Trimestre","10-Outubro","5 semana",104.413230769231
118.17,4423311,"Vendas",2610953,8587822055,"CE",2012-10-30 07:32:53,34,4,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
59.5,1823193,"Vendas",2610953,8288717515,"AL",2012-10-30 07:32:19,33,18,"Tue","4-Trimestre","10-Outubro","5 semana",109.508148148148
113.46,6824591,"Operações",8608369,2588189216,"RJ",2012-10-30 07:32:17,32,38,"Tue","4-Trimestre","10-Outubro","5 semana",107.724426229508
126.37,6020457,"Vendas",2610953,3588055261,"MG",2012-10-30 07:32:13,32,4,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
94.06,4228041,"Vendas",2610953,3187393571,"MG",2012-10-30 07:32:14,32,3,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
100.8,3027745,"Vendas",1559582,3187588697,"MG",2012-10-30 07:32:16,32,1,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
61.14,4628169,"Vendas",2610953,8788158099,"PE",2012-10-30 07:32:17,32,0,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
137.31,5232925,"Vendas",2610953,8586506869,"CE",2012-10-30 07:32:17,32,0,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
118.08,3425381,"Vendas",2610953,8287075173,"AL",2012-10-30 07:30:23,30,32,"Tue","4-Trimestre","10-Outubro","5 semana",109.508148148148
94.42,5124807,"Vendas",2610953,2188915185,"RJ",2012-10-30 07:29:36,28,39,"Tue","4-Trimestre","10-Outubro","5 semana",107.724426229508
85.9,8727241,"Vendas",2610953,3186503587,"MG",2012-07-13 17:08:53,23,32,"Fri","3-Trimestre","7-Julho","3 semana",102.688081081081
111.76,6228143,"Vendas",1559582,3788586395,"MG",2012-10-30 07:25:34,20,3,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
139.69,3532291,"Vendas",2610953,3186372373,"MG",2012-10-30 05:54:25,19,49,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
148.76,3532975,"Vendas",2748775,8588358785,"CE",2012-10-30 05:40:47,18,48,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
104.79,5020211,"Engenharia",9008985,3187065980,"MG",2012-10-30 05:41:28,18,6,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
60.24,2829967,"Operações",8608369,3186177056,"MG",2012-10-30 05:40:18,18,3,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
87.91,2832991,"Vendas",1559582,8387729020,"PB",2012-10-30 05:41:32,18,2,"Tue","4-Trimestre","10-Outubro","5 semana",114.0835
296.93,5630041,"Vendas",1559582,3588315730,"MG",2012-10-30 07:23:36,18,1,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
157.4,1725659,"Vendas",1559582,3187056175,"MG",2012-10-30 05:59:40,17,57,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
60.24,7328137,"Vendas",1559582,8387537852,"PB",2012-10-30 06:01:31,17,26,"Tue","4-Trimestre","10-Outubro","5 semana",114.0835
87.9,7731137,"Vendas",1559582,11965556868,"SP",2012-10-30 05:45:37,16,45,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
84.55,7229135,"Vendas",1559582,3185368518,"MG",2012-10-30 04:39:02,16,34,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
106,7221949,"Vendas",2610953,11962951565,"SP",2012-10-30 07:22:17,15,20,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
79.55,4325163,"Vendas",2610953,3188927275,"MG",2012-10-30 07:22:19,15,19,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
101.88,7025985,"Vendas",1559582,3186969228,"MG",2012-10-30 07:22:21,15,16,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
56.42,4027533,"Vendas",2610953,3187228056,"MG",2012-10-30 07:22:22,15,15,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
108.06,6127999,"Vendas",1559582,2187961758,"RJ",2012-10-30 07:22:23,15,14,"Tue","4-Trimestre","10-Outubro","5 semana",107.724426229508
131.41,3925601,"Vendas",2610953,9588079568,"PA",2012-07-13 17:24:43,15,8,"Fri","3-Trimestre","7-Julho","3 semana",99.749
273.87,5025441,"Vendas",1559582,3185773759,"MG",2012-10-30 07:22:10,14,45,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
112.14,1533153,"Vendas",2610953,3186513262,"MG",2012-10-30 07:22:10,14,45,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
117.57,3126415,"Vendas",1559582,5585577291,"RS",2012-10-30 07:22:44,12,38,"Tue","4-Trimestre","10-Outubro","5 semana",99.78
55.35,9732411,"Vendas",2610953,8586325582,"CE",2012-10-30 06:44:19,10,38,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
134.14,3027533,"Vendas",2610953,2185615551,"RJ",2012-09-05 18:52:56,10,7,"Wed","3-Trimestre","9-Setembro","2 semana",107.724426229508
104.54,7231759,"Vendas",1559582,11965097850,"SP",2012-09-01 04:41:26,10,6,"Sat","3-Trimestre","9-Setembro","5 semana",105.879468085106
87.95,6823249,"Vendas",2610953,8388095625,"PB",2012-10-30 07:39:31,9,28,"Tue","4-Trimestre","10-Outubro","5 semana",114.0835
55.35,7520517,"Vendas",2610953,3185289751,"MG",2012-10-30 06:42:14,9,21,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
118.76,5232411,"Vendas",2610953,3186151705,"MG",2012-10-30 07:32:03,5,50,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
128.07,6329749,"Vendas",2610953,8586212513,"CE",2012-10-30 06:08:09,5,36,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
85.84,1628639,"Vendas",1559582,3188832628,"MG",2012-08-29 14:04:08,5,4,"Wed","3-Trimestre","8-Agosto","5 semana",102.688081081081
91.28,2722317,"Vendas",2610953,3186379565,"MG",2012-10-30 05:53:44,4,37,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
114.46,2324691,"Operações",8608369,11965285857,"SP",2012-10-30 06:07:30,4,4,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
86.02,1920737,"Operações",8608369,11967693593,"SP",2012-10-30 05:56:13,3,21,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
81.57,2131139,"Engenharia",9008985,11961507861,"SP",2012-10-30 05:57:38,3,16,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
127.3,5920979,"Vendas",2610953,3388556983,"MG",2012-10-30 06:06:10,2,45,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
126.15,2623127,"Vendas",2610953,7186238505,"BA",2012-07-13 17:30:39,2,20,"Fri","3-Trimestre","7-Julho","3 semana",97.9727272727273
81.56,9526113,"Engenharia",9008985,3189210633,"MG",2012-10-30 06:01:25,2,10,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
102.98,7127629,"Engenharia",9008985,11965227020,"SP",2012-10-30 05:48:58,2,7,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
85.14,5832527,"Engenharia",9008985,8587592206,"CE",2012-10-30 06:01:32,2,3,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
93.11,7322305,"Vendas",2610953,3189095890,"MG",2012-10-30 06:00:16,1,59,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
84.45,3322093,"Engenharia",9008985,1988306813,"SP",2012-10-30 06:04:15,1,30,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
112.72,9320275,"Engenharia",9008985,8688331755,"PI",2012-10-30 05:45:39,1,26,"Tue","4-Trimestre","10-Outubro","5 semana",119.333076923077
113.23,8522109,"Engenharia",9008985,2185153585,"RJ",2012-10-30 05:00:58,1,16,"Tue","4-Trimestre","10-Outubro","5 semana",107.724426229508
96.89,7521673,"Engenharia",9008985,3188737660,"MG",2012-10-30 05:01:05,1,9,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
113.81,5328217,"Marketing",9008985,3588553866,"MG",2012-10-30 06:36:51,58,44,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
105.01,8524131,"Vendas",1559582,8287273775,"AL",2012-10-30 06:42:12,58,43,"Tue","4-Trimestre","10-Outubro","5 semana",109.508148148148
116.37,7727123,"Operações",8608369,8288887207,"AL",2012-10-30 07:32:53,57,22,"Tue","4-Trimestre","10-Outubro","5 semana",109.508148148148
86.01,6927575,"Operações",8608369,5585367330,"RS",2012-10-30 06:37:02,57,13,"Tue","4-Trimestre","10-Outubro","5 semana",99.78
104.23,9223717,"Engenharia",9008985,8888051525,"CE",2012-10-30 07:32:51,56,46,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
97.68,6730019,"RH",2743437,1988265700,"SP",2012-09-01 07:05:45,55,4,"Sat","3-Trimestre","9-Setembro","5 semana",105.879468085106
87.6,4227073,"Engenharia",9008985,2186057581,"RJ",2012-10-30 08:10:44,54,57,"Tue","4-Trimestre","10-Outubro","5 semana",107.724426229508
101.64,5923659,"Engenharia",9008985,3186565252,"MG",2012-10-30 06:58:21,54,1,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
101.18,2721665,"Engenharia",9008985,1988595250,"SP",2012-10-30 06:38:08,52,7,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
96.84,2721599,"RH",2743437,1988975768,"SP",2012-10-30 06:21:36,51,19,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
94.48,7531311,"Vendas",2610953,3188536926,"MG",2012-10-30 06:21:43,51,13,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
117.23,8025495,"Engenharia",9008985,8587015587,"CE",2012-10-30 06:36:49,50,47,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
92.9,9722269,"Engenharia",9008985,3185997075,"MG",2012-10-30 06:22:09,50,45,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
119.66,8631293,"RH",2743437,8187905861,"PE",2012-10-30 06:22:12,50,43,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
92.12,5830975,"Vendas",2610953,8186925389,"PE",2012-10-30 06:22:11,50,43,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
96.22,1826965,"Engenharia",9008985,11969857298,"SP",2012-10-30 06:07:03,50,42,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
131.34,5323737,"Marketing",9008985,3186920238,"MG",2012-10-30 06:27:39,49,59,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
113.3,9320745,"Vendas",2610953,8388686310,"PB",2012-10-30 06:08:20,49,58,"Tue","4-Trimestre","10-Outubro","5 semana",114.0835
110.9,8028745,"Marketing",9008985,11955078151,"SP",2012-10-30 06:08:23,49,51,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
81.56,5320785,"Vendas",1559582,3288870000,"MG",2012-10-30 06:08:23,49,51,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
209.79,5023409,"Vendas",2748775,7591969108,"BA",2012-07-13 17:48:04,49,45,"Fri","3-Trimestre","7-Julho","3 semana",97.9727272727273
119.71,2921341,"Engenharia",9008985,11980897551,"SP",2012-10-30 06:23:25,49,30,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
82.42,2527215,"Engenharia",9008985,3588569352,"MG",2012-10-30 06:22:05,49,29,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
122.36,1629079,"Vendas",1559582,3185606533,"MG",2012-10-30 06:05:45,49,20,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
126.6,9025631,"Vendas",1559582,3185585831,"MG",2012-10-30 06:22:18,49,16,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
152.4,6723343,"Vendas",1559582,8188778325,"PE",2012-10-30 06:35:22,48,55,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
107.44,2221093,"Engenharia",9008985,11967507735,"SP",2012-10-30 06:09:33,48,47,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
268.74,4720095,"Vendas",2610953,1988501236,"SP",2012-10-30 06:09:29,48,47,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
132.52,1430961,"Engenharia",9008985,3186515767,"MG",2012-10-30 06:09:38,48,42,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
87.05,7520083,"Engenharia",9008985,2588131286,"RJ",2012-10-30 06:09:38,48,39,"Tue","4-Trimestre","10-Outubro","5 semana",107.724426229508
81.57,6828459,"Operações",2743437,8185855772,"PE",2012-10-30 05:56:54,48,11,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
90.15,5327315,"Engenharia",9008985,3388596398,"MG",2012-10-30 06:20:45,48,10,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
86.93,6833367,"RH",2743437,3186989959,"MG",2012-10-30 06:35:34,48,1,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
176.21,9632813,"Operações",2743437,3185799711,"MG",2012-10-30 06:57:37,48,0,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
139.37,4927313,"Engenharia",9008985,9888125595,"MA",2012-10-30 08:08:07,47,59,"Tue","4-Trimestre","10-Outubro","5 semana",104.413230769231
115.73,1628809,"RH",2743437,2588570595,"RJ",2012-10-30 06:34:10,47,28,"Tue","4-Trimestre","10-Outubro","5 semana",107.724426229508
156.95,1525245,"Operações",2743437,3387155051,"MG",2012-10-30 06:19:44,47,21,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
112.47,1720191,"Financeiro",1744466,5185888358,"RS",2012-10-30 06:19:24,46,52,"Tue","4-Trimestre","10-Outubro","5 semana",99.78
81.36,9631931,"Vendas",2610953,3186865355,"MG",2012-10-30 05:59:25,46,49,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
87.94,5825111,"Engenharia",9008985,3888350680,"MG",2012-10-30 06:32:47,46,48,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
97.66,8521317,"Engenharia",9008985,8588900625,"CE",2012-10-30 07:22:14,46,41,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
98.24,2527807,"Vendas",1559582,3188569703,"MG",2012-10-30 06:31:40,46,38,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
109.12,3325353,"Vendas",2610953,8586705203,"CE",2012-10-30 06:19:44,46,37,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
113,7229495,"Vendas",1559582,11962836626,"SP",2012-10-30 06:31:44,46,35,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
57.96,9029495,"Vendas",1559582,8387580558,"PB",2012-10-30 06:33:04,46,31,"Tue","4-Trimestre","10-Outubro","5 semana",114.0835
97.29,4028479,"Vendas",2610953,3188319291,"MG",2012-10-30 05:50:25,46,29,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
54.53,1523437,"Vendas",2610953,3187539615,"MG",2012-10-30 05:23:31,46,11,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
88.8,8723437,"Vendas",2610953,1291021858,"SP",2012-10-30 04:08:05,46,9,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
60.24,3626515,"Vendas",2610953,8589055315,"CE",2012-10-30 05:15:27,46,8,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
43.86,7627799,"Vendas",2610953,1988052351,"SP",2012-10-30 05:19:33,46,2,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
118.45,2428019,"Vendas",1559582,3187590750,"MG",2012-10-30 05:10:57,46,1,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
89.31,7226465,"Engenharia",9008985,3186866575,"MG",2012-10-30 03:59:04,45,59,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
89.07,8526479,"Engenharia",9008985,8387186033,"PB",2012-10-30 05:02:58,45,58,"Tue","4-Trimestre","10-Outubro","5 semana",114.0835
118.03,7526487,"Engenharia",9008985,2788771583,"ES",2012-10-30 05:13:45,45,57,"Tue","4-Trimestre","10-Outubro","5 semana",165.59
108.11,4226495,"Engenharia",9008985,3185099517,"MG",2012-10-30 05:43:04,45,57,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
92.75,7530173,"Engenharia",9008985,3288071722,"MG",2012-10-30 06:19:04,45,57,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
52.99,2233571,"Vendas",2748775,8185557993,"PE",2012-10-30 05:10:58,45,56,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
115.64,3831933,"Engenharia",9008985,6985552058,"RO",2012-10-30 06:33:02,45,56,"Tue","4-Trimestre","10-Outubro","5 semana",99.295
111.34,4731025,"Vendas",2748775,11962577601,"SP",2012-08-11 06:28:35,45,32,"Sat","3-Trimestre","8-Agosto","2 semana",105.879468085106
119.48,8833571,"Vendas",2748775,8588363962,"CE",2012-10-30 07:35:21,44,50,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
99.12,2320075,"Engenharia",9008985,8587531597,"CE",2012-10-30 07:52:02,43,57,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
147.04,8932943,"Financeiro",1744466,8187056502,"PE",2012-10-30 07:34:43,43,48,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
111.93,8132013,"Vendas",1559582,3288389177,"MG",2012-10-30 06:58:56,42,41,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
58.2,4320915,"Vendas",2610953,7186505998,"BA",2012-10-30 06:58:22,42,33,"Tue","4-Trimestre","10-Outubro","5 semana",97.9727272727273
112.04,2820953,"Vendas",1559582,3388353296,"MG",2012-10-30 07:00:21,41,54,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
56.57,3121347,"Vendas",1559582,3186105936,"MG",2012-10-30 07:19:41,41,14,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
85.12,8432465,"Vendas",2610953,7388828617,"BA",2012-07-13 18:00:11,41,12,"Fri","3-Trimestre","7-Julho","3 semana",97.9727272727273
115.47,9625969,"RH",2743437,5785255712,"SC",2012-07-13 17:55:23,41,10,"Fri","3-Trimestre","7-Julho","3 semana",121.998333333333
124.48,7227363,"Vendas",2610953,8388188328,"PB",2012-08-29 07:13:42,41,4,"Wed","3-Trimestre","8-Agosto","5 semana",114.0835
218.08,5325991,"Vendas",2610953,8585381650,"CE",2012-10-30 07:34:46,40,56,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
44.87,3529333,"Vendas",2610953,3288793861,"MG",2012-10-30 06:54:05,40,52,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
108.82,8532637,"Vendas",1559582,2188730753,"RJ",2012-10-30 07:17:40,40,35,"Tue","4-Trimestre","10-Outubro","5 semana",107.724426229508
80.79,8832641,"Vendas",1559582,8188038620,"PE",2012-10-30 07:19:04,40,31,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
103.72,1832395,"Financeiro",1744466,2187806305,"RJ",2012-09-01 04:09:41,40,4,"Sat","3-Trimestre","9-Setembro","5 semana",107.724426229508
86.82,2923501,"Vendas",2610953,9896115755,"MA",2012-10-30 06:55:38,40,4,"Tue","4-Trimestre","10-Outubro","5 semana",104.413230769231
85.36,8433199,"Vendas",2748775,3387008911,"MG",2012-10-30 06:55:38,40,4,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
86.87,8627507,"Vendas",2610953,11962913525,"SP",2012-09-01 05:42:43,40,3,"Sat","3-Trimestre","9-Setembro","5 semana",105.879468085106
87.3,3825885,"Vendas",1559582,1988053033,"SP",2012-09-01 05:53:00,40,3,"Sat","3-Trimestre","9-Setembro","5 semana",105.879468085106
120.96,3531071,"Vendas",1559582,9588013991,"PA",2012-09-01 07:31:27,40,3,"Sat","3-Trimestre","9-Setembro","5 semana",99.749
126,4832855,"Vendas",2610953,8587523250,"CE",2012-09-01 07:34:38,40,3,"Sat","3-Trimestre","9-Setembro","5 semana",110.283529411765
98.61,5829221,"Vendas",2610953,3188053631,"MG",2012-10-30 06:54:20,39,55,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
121.05,1828139,"Vendas",1559582,3288525537,"MG",2012-10-30 07:17:02,39,53,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
137.88,8525125,"Vendas",2610953,2185532859,"RJ",2012-10-30 07:17:00,39,17,"Tue","4-Trimestre","10-Outubro","5 semana",107.724426229508
93.77,5826955,"Vendas",2610953,8589188865,"CE",2012-10-30 07:17:01,39,16,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
93.23,7923193,"Vendas",2610953,3188776675,"MG",2012-10-30 06:54:04,38,52,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
138.67,3027457,"Vendas",2610953,9887315115,"MA",2012-10-30 07:16:49,38,46,"Tue","4-Trimestre","10-Outubro","5 semana",104.413230769231
87.92,9621189,"Vendas",2610953,3189235822,"MG",2012-10-30 07:16:56,38,39,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
110.03,7723285,"Vendas",1559582,3588623332,"MG",2012-10-30 07:17:05,38,30,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
88.08,9533881,"Vendas",1559582,9196097717,"PA",2012-10-30 08:26:47,38,6,"Tue","4-Trimestre","10-Outubro","5 semana",99.749
165.63,7331969,"Financeiro",1744466,8288755598,"AL",2012-10-30 06:59:32,38,5,"Tue","4-Trimestre","10-Outubro","5 semana",109.508148148148
140.94,8531647,"Financeiro",1744466,11971668378,"SP",2012-10-30 06:58:14,38,3,"Tue","4-Trimestre","10-Outubro","5 semana",105.879468085106
44.08,1421055,"Engenharia",9008985,8586569296,"CE",2012-10-30 07:14:21,37,56,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
89.89,1520993,"Engenharia",9008985,8188777575,"PE",2012-10-30 06:58:57,37,20,"Tue","4-Trimestre","10-Outubro","5 semana",107.485714285714
272.97,7632645,"Financeiro",1744466,8588005952,"CE",2012-10-30 07:14:23,37,14,"Tue","4-Trimestre","10-Outubro","5 semana",110.283529411765
54.85,3732757,"Vendas",2748775,8187578390,"PE",2012-07-14 10:23:28,37,10,"Sat","3-Trimestre","7-Julho","3 semana",107.485714285714
97.88,5621201,"Engenharia",9008985,3186882517,"MG",2012-10-30 06:52:18,36,3,"Tue","4-Trimestre","10-Outubro","5 semana",102.688081081081
